labels,Reviews,Backtranslated_Reviews_Google_fr
positive,इस फिल्म में शोनाली की मौजूदगी सोच और समझदारी के स्तर पर है ।,इस फिल्म में शोनाली की उपस्थिति सोच और समझ के स्तर पर है।
negative,"जैसा कि मैंने पहले कहा था , प्रोसेसर गेम खेलने तथा विडियो को पूरी तरह से सहज चलाने के काबिल नहीं है ।","जैसा कि मैंने पहले कहा, प्रोसेसर गेम खेलने और वीडियो खेलने में सक्षम नहीं है।"
neutral,"असम में ब्रह्मपुत्र नदी के किनारे स्थित इस पार्क में गैंडे के साथ - साथ हाथी , चीता , बाघ , हिरण , डॉल्फिन , सांभर आदि देखे जा सकते हैं ।","असम में ब्रह्मपुत्र नदी के तट पर स्थित, गैंडे, चीता, बाघ, हिरण, डॉल्फ़िन, सांबर आदि के साथ देखा जा सकता है।"
positive,फोन में पोलेरिस आफिस एप सहित कई अन्य ऐसे एप्लीकेशन्स हैं जो आपको रोजमर्रा के कामकाज में मददगार साबित होंगे ।,फोन में ऐसे कई अन्य एप्लिकेशन हैं जिनमें पोलारिस ऑफिस ऐप भी शामिल है जो आपको रोजमर्रा के कामकाज में मदद करेगा।
neutral,ये सभी बातें ' एवेंजर्स : एज ऑफ अल्ट्रॉन ' में देखने को मिलती है ।,इन सभी चीजों को 'एवेंजर्स: एज ऑफ अल्ट्रॉन' में देखा जाता है।
neutral,फोन में माइक्रो एसडी कार्ड के अलावा दो सिम कार्ड भी डाले जा सकते हैं ।,"माइक्रो एसडी कार्ड के अलावा, दो सिम कार्ड भी फोन में डाला जा सकता है।"
positive,इसका 13 मेगा पिक्सल कैमरा जो इस डिवाईस का हिरो है ।,इसका 13 मेगापिक्सेल कैमरा जो इस डिवाइस का नायक है।
negative,इस टेबलेट में फ़्लैश का ना होना भी इसका एक कारण बनता है ।,इस टैबलेट में फ्लैश की अनुपस्थिति भी इसके लिए एक कारण का कारण बनती है।
neutral,"इसके अलावे इसमें आने वाले नोटिफिकेशंस को आप केवल देख सकते हैं , उसका जवाब नहीं दे सकते ।","इसके अलावा, आप केवल इसमें आने वाली सूचनाओं को देख सकते हैं, इसका जवाब नहीं दे सकते।"
neutral,"थोड़े छोटे ज़रूर हैं , लेकिन इतने छोटे नहीं हैं की इनसे कोई परेशानी हो ।","थोड़े छोटे हैं, लेकिन इतने छोटे नहीं हैं कि उन्हें कोई समस्या है।"
positive,चारमीनार आंध्र प्रदेश की राजधानी हैदराबाद का सबसे प्रसिद्ध और महत्वपूर्ण स्मारक है ।,चार्मिनर आंध्र प्रदेश की राजधानी हैदराबाद का सबसे प्रसिद्ध और महत्वपूर्ण स्मारक है।
positive,कुल मिलाकर टैबलेट देखने में मजबूत लगता है जबकि डिसप्ले के चारों ओर का उभरा हुआ प्लेटफार्म डिसप्ले पर किसी तरह का सक्रैच आने से रोकेगा तथा कुछ हद तक उसकी सुरक्षा भी करेगा ।,"कुल मिलाकर, टैबलेट देखने के लिए मजबूत लगता है, जबकि डिस्प्ले के चारों ओर उभरा हुआ मंच प्रदर्शन पर किसी भी तरह की सक्रियता को रोक देगा और इसे कुछ हद तक इसकी रक्षा भी करेगा।"
positive,अच्छी सेल्फी के साथ - साथ वीडियो कॉलिंग भी की जा सकती है ।,"अच्छी सेल्फी के साथ, वीडियो कॉलिंग भी की जा सकती है।"
negative,कुल मिलाकर जी3 स्टाइलस का परफॉर्मेंस अच्छा नहीं कहा जा सकता ।,"कुल मिलाकर, G3 स्टाइलस के प्रदर्शन को अच्छा नहीं कहा जा सकता है।"
positive,"सबसे अहम् बात ये है की डिज़ाइन और लुक्स के मामले में ये लेनोवो जेड580 से कहीं आगे है , इसे निश्चित रूप से एक बेहतर चुनाव कहा जा सकता है ।","सबसे महत्वपूर्ण बात यह है कि डिजाइन और लुक के संदर्भ में, यह लेनोवो Z580 से बहुत आगे है, इसे निश्चित रूप से एक बेहतर विकल्प कहा जा सकता है।"
negative,"इसमें कमी यह है कि इसका स्किन हर किसी को पसंद नहीं आ सकता है , इसका कैमरा साधारण है और यह एंड्रायड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर काम करता है ।","इसकी कमी यह है कि इसकी त्वचा को सभी के द्वारा पसंद नहीं किया जा सकता है, इसका कैमरा सरल है और यह एंड्रॉइड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर काम करता है।"
positive,कश्मीर में पर्यटन को बढ़ावा देने के लिए यह फेस्टिवल बहुत बड़ा योगदान देता है ।,यह त्योहार कश्मीर में पर्यटन को बढ़ावा देने के लिए बहुत योगदान देता है।
positive,मानसून के मौसम में द वैली ऑफ फ्लावर नेशनल पार्क का परिदृश्य आश्चर्यजनक तरीके से सजीव हो जाता है ।,मानसून के मौसम में फ्लावर नेशनल पार्क की घाटी का परिदृश्य आश्चर्यजनक रूप से जीवित है।
positive,इसके अलावा इसमें वाय - फाय तथा वन टच तकनीक दी है जिससे इसे स्मार्टफोन अथवा टेबलेट् से कनेक्ट किया जा सकता है ।,"इसके अलावा, इसमें एक y -fi और एक टच तकनीक है ताकि यह स्मार्टफोन या टैबलेट से जुड़ा हो।"
neutral,यह टैबलेट एंड्रॉयड 4.4 KitKat के साथ आता है |,यह टैबलेट एंड्रॉइड 4.4 किटकैट के साथ आता है।
negative,मतलब केबल के माध्यम से कंप्यूटर आदि से आप गाने यां क्लिप्स इस पर ट्रांसफर नहीं कर सकते हैं ।,"मतलब, केबल के माध्यम से, आप कंप्यूटर से गाने या क्लिप स्थानांतरित नहीं कर सकते।"
neutral,इसमें इलेक्ट्रोनिक कंट्रोल पैनल भी मौजूद है ।,इसमें एक इलेक्ट्रॉनिक कंट्रोल पैनल भी है।
neutral,एप्पल के नए 15 इंच लैपटॉप में 16 GB इंटरनल मेमोरी के साथ 2.2 GHz का क्वाड कोर इंटेल कोर प्रोसेसर दिया गया है ।,Apple के नए 15 इंच के लैपटॉप में 16 GB आंतरिक मेमोरी के साथ 2.2 GHz क्वाड कोर इंटेल कोर प्रोसेसर है।
positive,मोटा व भारी होने के बावजूद यह स्मार्टफोन अच्छे लुक्स व बेहतर डिजायन वाला है ।,"मोटी और भारी होने के बावजूद, यह स्मार्टफोन अच्छा लुक और बेहतर डिज़ाइन है।"
neutral,"इसके 10.1-इंच डिस्प्ले का रेजोल्यूशन 1920 x 1200 पिक्सेल है , जो इसे 224 पीपीआई का पिक्सेल डेंसिटी देता है ।","इसका 10.1-इंच डिस्प्ले रिज़ॉल्यूशन 1920 x 1200 पिक्सेल है, जो इसे 224 पीपीआई पिक्सेल घनत्व देता है।"
neutral,इन किट के तहत फिल्ममेकर और एनिमेटर अपने - अपने हिसाब से फोटो और मूवी में एडिटिंग कर सकत हैं ।,"इन किटों के तहत, फिल्म निर्माता और एनिमेटर अपने स्वयं के अनुसार अपनी तस्वीरों और फिल्मों में संपादित कर सकते हैं।"
neutral,"यहां इनवेन्ट इट , बिल्ड इट , क्रिएट इट , लिव इट , डिस्कवर इट , एक्सप्लोर इट , स्प्लैश इट जैसे अलग - अलग प्ले एरियाज हैं ।","अलग -अलग खेल क्षेत्र हैं जैसे कि इसका आविष्कार करें, इसे बनाएं, इसे बनाएं, इसे जीएं, इसे खोजें, इसे खोजें, इसे देखें, इसे छपें।"
negative,लंबा और घुमावदार हस्ताक्षर करने वालों के लिए भी यहां अपना हस्ताक्षर ड्रॉ करना परेशानी भरा हो सकता है ।,यह यहां अपने हस्ताक्षर को खींचने के लिए एक लंबे और घुमावदार हस्ताक्षर के लिए भी परेशानी भरा हो सकता है।
neutral,हिमाचल प्रदेश के प्रसिद्ध पर्यटन स्थलों में से एक इस दर्रे को लाहोल और स्पीति जिलों का प्रवेश द्वार कहा जाता है ।,"हिमाचल प्रदेश के प्रसिद्ध पर्यटन स्थलों में से एक, इस पास को लाहोल और स्पीटी जिलों का प्रवेश द्वार कहा जाता है।"
positive,फिल्म की भावभूमि उनके लिए नई और अपरिचित है ।,फिल्म का घर उनके लिए नया और अपरिचित है।
positive,चारमीनार अपनी भव्य सुंदरता के कारण बड़ी संख्या में पर्यटकों को अपनी ओर खींचता है ।,चार्मिनर अपनी भव्य सुंदरता के कारण बड़ी संख्या में पर्यटकों को उनकी ओर आकर्षित करता है।
positive,गैलेक्सी नोट 800 का लॉक स्क्रीन सिंपल और अच्छा है ।,गैलेक्सी नोट 800 की लॉक स्क्रीन सरल और अच्छी है।
neutral,' हैदर ' की खोज है नरेंद्र झा ।,नरेंद्र झा 'हैदर' की खोज है।
neutral,"इसके अन्दर लगी 3120 एमएएच की बैटरी , पूरे डेढ़ दिन तक चलती है ।",इसके अंदर 3120 एमएएच की बैटरी डेढ़ दिनों तक चलती है।
positive,"बैद्यनाथ धाम , बाबा धाम और कई अन्य नामों से जाना जाने वाला झारखंड जिला का शहर देवघर पवित्र हिंदू तीर्थो में से एक है ।","देओगीर शहर, जिसे बैद्यानाथ धाम, बाबा धाम और कई अन्य नामों से जाना जाता है, झारखंड जिले में पवित्र हिंदू तीर्थयात्राओं में से एक है।"
positive,प्लास्टिक से बना इसका बैक पैनल दिखने में काफी प्रीमियम लगता है और याद दिलाता है सैमसंग के Galaxy Note 4 की ।,प्लास्टिक से बना इसका बैक पैनल सैमसंग के गैलेक्सी नोट 4 को देखने और याद दिलाने के लिए बहुत अधिक प्रीमियम लेता है।
neutral,"कनेक्टिवीटि के 3जी , सिम , वाइ - फाइ , ब्लू टूथ आदि कई विकल्प हैं ।","कनेक्टिविटी में 3 जी, सिम, वाई -एफआई, नीले दांत आदि के लिए कई विकल्प हैं।"
positive,यह इसी खूबी के चलते इसे फेबलेट के रूप में भी काम में लिया जा सकता है ।,इसका उपयोग इस गुणवत्ता के कारण फैबलेट के रूप में भी किया जा सकता है।
positive,आपको यहा आने के बाद जाने का बिलकुल ही मन नहीं करेगा ।,यहां आने के बाद आपको यहां जाने का मन नहीं होगा।
neutral,"जेम्स वान , सॉ के डायरेक्टर रहे हैं ।",जेम्स वैन SAW के निदेशक रहे हैं।
neutral,यह आपके आइफोन से सीधे कनेक्ट हो जाएगी ।,यह सीधे आपके iPhone से कनेक्ट होगा।
neutral,आजादी के बाद यहां पर अरूणाचल प्रदेश के पहले प्रशासनिक केन्द्र की स्थापना की गई थी ।,"स्वतंत्रता के बाद, अरुणाचल प्रदेश का पहला प्रशासनिक केंद्र यहां स्थापित किया गया था।"
positive,इसके बेंचमार्क स्कोर्स बहुत ही आशाजनक थे क्योंकि यह स्मार्टफोन प्रतियोगिता को दूर कर देता है ।,स्मार्टफोन प्रतियोगिता को हटाते हुए इसके बेंचमार्क स्कोर बहुत आशाजनक थे।
neutral,"इसका इंडोर डायमेंशन 470 mm चौड़ाई , 355 mm हाइट और 495 mm गहराई है ।","इसके इनडोर आयाम 470 मिमी चौड़ाई, 355 मिमी ऊंचाई और 495 मिमी की गहराई हैं।"
neutral,यह फोन सिर्फ एक फोन नहीं है और इसके आकार को देखते हुए यह आसानी से फॅब्लेट कहलाने के लिए पात्र है ।,"यह फोन केवल एक फोन नहीं है और इसका आकार दिया गया है, यह आसानी से एक Fablet कहा जाने के लिए योग्य है।"
negative,सबसे पहले तो बैट्री चार्ज होने में बहुत ज्यादा समय लेती है ।,"सबसे पहले, बैटरी को चार्ज करने में बहुत अधिक समय लगता है।"
neutral,इसके अधिकांश यूआर्इ अपने पूर्ववर्तियों के समान हैं तथा इसकी हर चीज ठीक से काम करती है ।,इसके अधिकांश यूआई अपने पूर्ववर्तियों के समान हैं और सब कुछ ठीक से काम करता है।
neutral,"एन्वी डीवी6 का वज़न 2.4 किलोग्राम है , 15-इंच से बड़े डिस्प्ले वाली मशीन के लिए ये वज़न कुछ ज्यादा नहीं कहा जा सकता ।","ENVI DV6 का वजन 2.4 किलोग्राम है, इस वजन को 15 इंच की डिस्प्ले मशीन के लिए ज्यादा नहीं कहा जा सकता है।"
neutral,"इस टैबलेट में सात इंच की स्क्रीन है , और एंड्रायड 4.1 जैली बीन आपरेटिंग सिस्टम है ।","इस टैबलेट में सात -इंच की स्क्रीन है, और एंड्रॉइड 4.1 एक जेली बीन ऑपरेटिंग सिस्टम है।"
neutral,1.9 अथवा 1.6 गीगीहर्टज़ का प्रोसेसर है ।,1.9 या 1.6 Gighartz का एक प्रोसेसर है।
neutral,माइक्रोसॉफ्ट सरफेस 3 में 10.8 इंच की क्लियरटाइप फुल HD प्लस डिस्प्ले स्क्रीन है ।,Microsoft सरफेस 3 में 10.8 -इंच क्लियरटाइप फुल एचडी प्लस डिस्प्ले स्क्रीन है।
negative,"जरूर , यह अपनी 1जीबी रैम के कारण अच्छा तो है , लेकिन इसके प्रोसेसर और ग्राफिक्स की कमियों ने इसे बेकार कर दिया है ।","बेशक, यह 1 जीबी रैम के कारण अच्छा है, लेकिन इसके प्रोसेसर और ग्राफिक्स की कमियों ने इसे बेकार बना दिया है।"
neutral,आप टेक्स्ट मैसेज को क्विक रिप्लाई भी दे सकते हैं ।,आप पाठ संदेश को एक त्वरित संदेश भी दे सकते हैं।
neutral,यह एक ही सिम को सपोर्ट करता है ।,यह उसी सिम का समर्थन करता है।
negative,"लेकिन इसमें कमी यह है , कि इसमें सिर्फ 16 जीबी का आतंरिक स्टोरेज दिया गया है ।",लेकिन इसकी कमी यह है कि इसमें केवल 16 जीबी का इंटरनल स्टोरेज है।
positive,"जेड1 कॉम्पैक्ट की तुलना में , इसमें थोड़ा सुधार हुआ है खास तौर से शॉट लेने के टाइम के मामले में , या कैमरा एप्प खुलने के मामले में ।","Z1 कॉम्पैक्ट की तुलना में, यह थोड़ा सुधार हुआ है, विशेष रूप से एक शॉट लेने के लिए, या कैमरा ऐप खोलने के मामले में।"
neutral,इन्हें बैजू मंदिर के नाम से जाना जाता है ।,उन्हें बैजू मंदिर के रूप में जाना जाता है।
positive,अब 360कैम नाम से छोटा सा लेकिन बहुत ही पावरफुल कैमरा आ चुका है जो पहली नजर में आपका मन मोह सकता है ।,"अब एक छोटा लेकिन बहुत शक्तिशाली कैमरा 360 कैम नाम में आया है, जो आपको पहली नजर में मोहित कर सकता है।"
positive,अगर आप इस मौसम में गोवा जाने का प्लान बना रहे हैं तो आप वहां के वाइब्रेंट मानसून फेस्टिवल का भी मजा ले सकते हैं ।,"यदि आप इस सीज़न में गोवा जाने की योजना बना रहे हैं, तो आप वहां जीवंत मानसून त्योहार का भी आनंद ले सकते हैं।"
positive,जी3 की तरह एलजी का हाइली कस्टमाइज्ड यूआई जी3 स्टाइलस फैबलेट में प्रयोग किया गया है जो उपयोग में बेहद आसान है ।,"G3 की तरह, LG के अत्यधिक अनुकूलित UI G3 का उपयोग स्टाइलस फैबलेट में किया गया है, जिसका उपयोग करना बेहद आसान है।"
neutral,चांदी के दरवाजे वाली इस दरगाह का निर्माण कई चरणों में हुआ जहां संत की मूल कब्र है जो संगमरमर की बनी है ।,चांदी के दरवाजे के साथ इस दरगाह का निर्माण कई चरणों में किया गया था जहां संत की मूल कब्र है जो संगमरमर से बना है।
neutral,इस टेबलेट के स्पीकर की आवाज़ साधारण है ।,इस टैबलेट स्पीकर की आवाज़ सरल है।
neutral,आप इन सभी बातों से बोर होने ही वाले होते हैं कि इतने में इन कारों पर ड्रोन से मिसाइले दागी जाती है ।,"आप इन सभी चीजों से ऊबने वाले हैं कि इस कार में, इन कारों पर एक मिसाइल निकाल दी जाती है।"
neutral,हालिया रिलीज फिल्म ' सैन एंड्रियास ' भी ऐसी ही एक फिल्म है ।,हाल की रिलीज़ फिल्म 'सैन एंड्रियास' भी ऐसी ही एक फिल्म है।
neutral,कार्बन Karbonn एक अच्छा स्थापित ब्रांड है तुलना में उन तमाम नये प्रवेशकों की जिनसे यह टैबलेट प्रतिस्पर्धा करती है साथ में इसके साथ अच्छी तरह से स्थापित सेल एंड सर्विस नेटवर्क जुड़ा है ।,"कार्बन कार्बोन सभी नए प्रवेश द्वारों की तुलना में एक अच्छा स्थापित ब्रांड है, जिसके साथ वह टैबलेट के साथ प्रतिस्पर्धा करता है, साथ ही साथ एक अच्छी तरह से सेल और सेवा नेटवर्क इसके साथ जुड़ा हुआ है।"
positive,Asus Chromebox कंप्यूटर�आप वायरलैस तकनीक क तहत महज एक क्लिक से कॉन्फ्रेंस करने समेत तथा डॉक्यूमेंट्स शेयर कर सकते हैं ।,ASUS CHROMEBOX कंप्यूटर केवल एक क्लिक के साथ वायरलेस तकनीक के तहत दस्तावेजों को साझा और साझा कर सकते हैं।
negative,दुःख की बात है कि फोन में एंड्रॉयड जिंजरब्रेड ऑपरेटिंग सिस्टम का पुराना वर्जन - एंड्रॉयड 2.3.1 ही लगा है ।,यह दुख की बात है कि फोन में एंड्रॉइड जिंजरब्रेड ऑपरेटिंग सिस्टम का पुराना संस्करण है - एंड्रॉइड 2.3.1।
negative,' वेलकम 2 कराची ' उसका भी नमूना है ।,'वेलकम 2 कराची' भी एक नमूना है।
neutral,मोटो 360 साधारण घड़ियों की तरह ही दिखता है ।,मोटो 360 साधारण घड़ियों की तरह दिखता है।
positive,बांधवगढ़ अभयारण्य मध्य प्रदेश का सबसे प्रसिद्ध राष्ट्रीय उद्यानों में से एक है ।,बंधवगढ़ अभयारण्य मध्य प्रदेश के सबसे प्रसिद्ध राष्ट्रीय उद्यानों में से एक है।
negative,हमारे हिसाब से इस कीमत में कुछ और अन्य विकल्पों को जांच कर ही इसे खरीदने का मन बनाएं तो बेहतर होगा ।,"हमारे अनुसार, यह बेहतर होगा यदि आप इस कीमत पर कुछ अन्य विकल्प खरीदने के लिए अपना मन बनाते हैं।"
positive,"अगर आपको बड़ा , अच्छा दिखनेवाला डिस्प्ले चाहिए तो आप पॅनासोनिक पी81के बारे में सोच सकते हैं ।","यदि आप एक बड़ा, अच्छा दिखने वाला प्रदर्शन चाहते हैं, तो आप पैनासोनिक P81 के बारे में सोच सकते हैं।"
neutral,"' एक बार जो मैंने कमिटमेंट कर दी , फिर मैं अपने आप की भी नहीं सुनता ' ... पर्दे पर सलमान खान के बोले इस पॉपुलर संवाद को ' तनु वेड्स मनु रिटर्न्स ' तवेमरि में मनोज शर्मा उर्फ मनु अपने अंदाज में फेरबदल के साथ बोलते हैं तो पप्पू टोकता है कि तुम क्या सलमान खान हो ?","'एक बार जब मैंने प्रतिबद्धता हासिल कर ली, तो मैं खुद भी नहीं सुनता' ... सलमान खान ने स्क्रीन पर कहा, 'तनू वेड्स मनु रिटर्न्स' तवमरी में, मनोज शर्मा उर्फ ​​मनु अपनी शैली में अपनी शैली में बोलते हैं, आप पप्पू हैं।आप सलमान खान क्या हैं?"
neutral,साधारण उपयोग में केवल एक बार फुल चार्जिंग के साथ हमारे टेस्ट में यह पूरे दिन चली ।,"यह हमारे परीक्षण में पूरे दिन तक चला गया, जिसमें केवल एक बार सरल उपयोग में एक बार चार्ज किया गया था।"
negative,"इंटरनल स्टोरेज आगे और भी बंटता है , जो इसकी बड़ी कमज़ोरी बन जाती है ।","आंतरिक भंडारण आगे विभाजित होता है, जो इसकी प्रमुख कमजोरी बन जाता है।"
neutral,कुछ मौकों पर पिता और बेटी के रिश्तों को दर्शाने की बात भी की गई है ।,"कुछ अवसरों पर, पिता और बेटी के बीच संबंध दिखाने की भी बात है।"
positive,पिछले पांच सालों के दौरान एप्पल आईओएस आपरेटिंग में बेहतर विकास देखने को मिला है ।,"पिछले पांच वर्षों के दौरान, Apple iOS ऑपरेटिंग ने बेहतर विकास देखा है।"
neutral,यदपि गेम्स के लिए बहुत ज्यादा इस्तेमाल इसकी बैटरी को अन्य एंड्राइड उपकरणों की तरह ही प्रभावित करेगा |,हालांकि गेम के लिए बहुत अधिक उपयोग अन्य एंड्रॉइड डिवाइस की तरह इसकी बैटरी को प्रभावित करेगा।
neutral,"जियाओमी एमआई 4आई , एमआईयूआई 6 के साथ एंड्रायड 5.0.2 पर चलता है ।","Xiaomi Mi4i, Miui 6 के साथ Android 5.0.2 पर चलता है।"
positive,ये बेहतर क्वालिटी और वाइड व्यू देने के साथ - साथ यूजर्स की आंखों को भी नुकसान नहीं पहुचाती है ।,यह बेहतर गुणवत्ता और व्यापक दृश्य के साथ उपयोगकर्ताओं की आंखों को नुकसान नहीं पहुंचाता है।
neutral,कैमरा नही करेगा निराश ।,कैमरा निराश नहीं होगा।
positive,एप्पल टीवी के जरिए स्ट्रीम किए गए कंटेंट की क्वालिटी बहुत अच्छी होती है ।,Apple TV के माध्यम से सुव्यवस्थित सामग्री की गुणवत्ता बहुत अच्छी है।
positive,कंपनी ने इस LED टीवी के डिस्प्ले पर खास काम किया है ।,कंपनी ने इस एलईडी टीवी डिस्प्ले पर विशेष काम किया है।
negative,"काम करते हुए , लैपटॉप लेनोवो v580c बहुत गर्म है , और वास्तव में कोई शोर मुद्दों नहीं ।","काम करते समय, लैपटॉप लेनोवो V580C बहुत गर्म है, और वास्तव में कोई शोर समस्या नहीं है।"
negative,आपको पावर और रीटर्न की को काम में लाने के लिए इन्हें थोड़ा ज्यादा प्रेस करना होता है ।,आपको शक्ति और सुलह का उपयोग करने के लिए उन्हें थोड़ा और दबाना होगा।
positive,इस फिल्म की उपलब्धि हैं विनीत कुमार सिंह और गिरीश कुलकर्णी ।,इस फिल्म की उपलब्धियों में विनीत कुमार सिंह और गिरीश कुलकर्णी हैं।
positive,इस टेबलेट का टचस्क्रीन रिस्पोंस काफी अच्छा है और इसे इस्तेमाल करने में बहुत आराम रहता है ।,इस टैबलेट की टचस्क्रीन प्रतिक्रिया काफी अच्छी है और इसका उपयोग करने के लिए बहुत आरामदायक है।
neutral,बोधगया में ऐसी बहुत सारी संस्थाए हैं जो भी करवाती हैं ।,बोध गया में कई संस्थान हैं जो इसे करते हैं।
neutral,इस स्‍मार्टवॉच का वजन 45 ग्राम है ।,इस स्मार्टवॉच का वजन 45 ग्राम है।
positive,1 जीबी के रैम की वजह से इसका परफार्मेंस काफी अच्छा है ।,1 जीबी रैम के कारण इसका प्रदर्शन काफी अच्छा है।
positive,यह एक बेहतर कैमरा स्मार्टफोन भी है जिसमें 8 एमपी मैन कैमरा ऑटोफोकस और सोनी बीएसआई सेंसर के साथ दिया गया है ।,यह ऑटोफोकस और सोनी बीएसआई सेंसर के साथ 8 एमपी मैन कैमरा के साथ एक बेहतर कैमरा स्मार्टफोन भी है।
neutral,"हमने जल्दी से पता लगाया की समस्या उसके साथ दिये गए चार्जर में है , क्योंकि फोन पीसी से कनेक्ट करने के बाद जल्दी चार्ज होता है ।","हमें जल्दी से पता चला कि समस्या उसके साथ दिए गए चार्जर में है, क्योंकि पीसी से कनेक्ट होने के बाद फोन को जल्दी से चार्ज किया जाता है।"
