Reviews,labels
यह आपके हस्ताक्षर को यहां खींचने के लिए एक लंबे और घुमावदार हस्ताक्षर के लिए भी शर्मनाक हो सकता है।,negative
"हिमाचल प्रदेश के प्रसिद्ध पर्यटन स्थलों में से एक, इस पास को लाहोल और स्पीटी के जिलों का प्रवेश कहा जाता है।",neutral
फिल्म का घर उसके साथ नया और अज्ञात है।,positive
चार्मिनर अपनी महान सुंदरता के कारण बड़ी संख्या में पर्यटकों को आकर्षित करता है।,positive
गैलेक्सी नोट 800 लॉकिंग स्क्रीन सरल और अच्छी है।,positive
"नरेंद्र झा ""हैदर"" की खोज है।",neutral
3120 एमएएच की बैटरी एक डेढ़ दिन तक रहती है।,neutral
"देओगीर शहर, जिसे बयानतथ धाम, बाबा धाम और कई अन्य नामों के लिए जाना जाता है, झारखंड जिले में हिंदू हिंदू तीर्थयात्राओं में से एक है।",positive
इसका प्लास्टिक रियर पैनल सैमसंग गैलेक्सी नोट 4 को देखने और याद करने के लिए बहुत अधिक बोनस लेता है।,positive
"कनेक्टिविटी में 3 जी, सिम, वाई -एफआई, ब्लू टूथ, आदि के लिए कई विकल्प हैं।",neutral
इसका उपयोग इस गुणवत्ता के कारण फैबलेट के रूप में भी किया जा सकता है।,positive
आप यहां आने के बाद यहां नहीं जाना चाहेंगे।,positive
जेम्स वैन SAW के निदेशक थे।,neutral
यह सीधे आपके iPhone से जुड़ता है।,neutral
"स्वतंत्रता के बाद, अरुणाचल प्रदेश का पहला प्रशासनिक केंद्र यहां बनाया गया था।",neutral
इसके संदर्भ स्कोर बहुत आशाजनक थे क्योंकि यह स्मार्टफोन से प्रतिस्पर्धा को दूर करता है।,positive
"इसके आंतरिक आयाम 470 मिमी चौड़े, 355 मिमी ऊंचे और 495 मिमी गहरे हैं।",neutral
"यह फोन केवल एक फोन नहीं है और इसके आकार को ध्यान में रखते हुए, यह आसानी से एक Fablet कहा जाने के लिए योग्य है।",neutral
"सबसे पहले, बैटरी को लोड होने में बहुत लंबा समय लगता है।",negative
इसका अधिकांश उपयोगकर्ता इंटरफ़ेस अपने पूर्ववर्तियों के समान है और सब कुछ ठीक से काम कर रहा है।,neutral
"DV DV6 का वजन 2.4 किलोग्राम है, इस वजन को 15 -इंच डिस्प्ले मशीन के लिए बहुत कुछ नहीं कहा जा सकता है।",neutral
इस टैबलेट में सात -इंच और एंड्रॉइड 4.1 स्क्रीन बीन जेली का एक ऑपरेटिंग सिस्टम है।,neutral
1.9 या 1.6 Gighartz प्रोसेसर है।,neutral
Microsoft सरफेस 3 में एक क्लियरटाइप HD डिस्प्ले स्क्रीन 10.8 इंच से अधिक है।,neutral
"बेशक, यह इसके 1 जीबी रैम के कारण अच्छा है, लेकिन इसके प्रोसेसर और इसके ग्राफिक्स की कमियों ने इसे बेकार बना दिया।",negative
आप एसएमएस को एक त्वरित संदेश भी दे सकते हैं।,neutral
यह उसी सिम कार्ड का समर्थन करता है।,neutral
लेकिन अनुपस्थिति यह है कि इसमें केवल 16 जीबी का आंतरिक भंडारण है।,negative
"Z1 कॉम्पैक्ट की तुलना में, यह थोड़ा सुधार हुआ है, विशेष रूप से एक फोटो लेने के लिए, या कैमरा एप्लिकेशन खोलने की स्थिति में।",positive
उन्हें बाजू मंदिर के रूप में जाना जाता है।,neutral
"अब, एक छोटा लेकिन बहुत शक्तिशाली कैमरा 360 कैम नाम में आया है, जो आपको पहली नज़र में मोहित कर सकता है।",positive
"यदि आप इस सीजन में गोवा जाने की योजना बनाते हैं, तो आप डायनेमिक मानसून फेस्टिवल का भी आनंद ले सकते हैं।",positive
"G3 की तरह, स्टाइलस फैबलेट में अत्यधिक व्यक्तिगत एलजी यूजर इंटरफेस का उपयोग किया गया था जो उपयोग करने के लिए बेहद आसान है।",positive
"यह दरगाह चांदी का दरवाजा कई चरणों में बनाया गया था, जहां संत की मूल कब्र है जो संगमरमर में है।",neutral
इस टैबलेट स्पीकर की आवाज़ सरल है।,neutral
"आप इन सभी चीजों से ऊबने वाले हैं जो इन कारों में, इन कारों पर एक मिसाइल खींची जाती है।",neutral
"हाल ही में रिलीज़ फिल्म ""सैन एंड्रियास"" भी इन फिल्मों में से एक है।",neutral
"कार्बन कार्बोन एक अच्छा ब्रांड है जो सभी नई प्रविष्टियों के संबंध में स्थापित किया गया है, जिसके साथ यह टैबलेट के साथ प्रतिस्पर्धा में है, साथ ही साथ कोशिकाओं और सेवाओं का एक अच्छी तरह से नेटवर्क है।",neutral
ASUS CHROMEBOX कंप्यूटर एक क्लिक के साथ वायरलेस तकनीक के तहत दस्तावेजों को साझा और साझा कर सकते हैं।,positive
यह दुख का सवाल है कि पुराने संस्करण में एंड्रॉइड जिंजरब्रेड ऑपरेटिंग सिस्टम का पुराना संस्करण है - एंड्रॉइड 2.3.1।,negative
"""वेलकम 2 कराची"" भी एक नमूना है।",negative
मोटो 360 साधारण घड़ियों की तरह दिखता है।,neutral
बंधवगढ़ अभयारण्य मध्य प्रदेश के सबसे प्रसिद्ध राष्ट्रीय उद्यानों में से एक है।,positive
"हमारी राय में, आपके लिए इस कीमत पर अन्य विकल्प खरीदने का निर्णय लेना बेहतर होगा।",negative
"यदि आप एक बड़ा सुंदर प्रदर्शन चाहते हैं, तो आप पैनोसोनिक P81 के बारे में सोच सकते हैं।",positive
"`` एक बार जब मैंने प्रतिबद्धता शुरू कर दी है, तो मैं खुद भी नहीं सुनता '' ... सलमान खान ने स्क्रीन पर कहा: `` तनु वेड्स मनु रिटर्न स्टाइल यदि आप पप्पू हैं, तो आप सलमान खान क्या हैं?",neutral
यह हमारे परीक्षण में दिन भर में एक पूर्ण लोड के साथ केवल एक बार सरल उपयोग में चला।,neutral
"आंतरिक भंडारण अधिक वितरित करता है, जो इसकी मुख्य कमजोरी बन जाती है।",negative
"कुछ अवसरों पर, पिता और बेटी के बीच संबंध दिखाने का भी सवाल है।",neutral
"पिछले पांच वर्षों में, Apple IOS ऑपरेशन ने बेहतर विकास का अनुभव किया है।",positive
हालांकि गेम के लिए बहुत अधिक उपयोग अन्य एंड्रॉइड उपकरणों की तरह इसकी बैटरी को प्रभावित करेगा।,neutral
"Xiaomi Mi4i, Miui 6 के साथ Android 5.0.2 पर काम करता है।",neutral
यह उपयोगकर्ताओं के साथ -साथ बेहतर गुणवत्ता और एक व्यापक दृश्य को भी नुकसान नहीं पहुंचाता है।,positive
कैमरा निराश नहीं होगा।,neutral
Apple TV के माध्यम से युक्तिकृत सामग्री की गुणवत्ता बहुत अच्छी है।,positive
कंपनी ने इस एलईडी टेलीविजन डिस्प्ले पर विशेष काम किया है।,positive
"काम के दौरान, लेनोवो V580C लैपटॉप बहुत गर्म है, और वास्तव में कोई शोर समस्या नहीं है।",negative
आपको शक्ति और सुलह का उपयोग करने के लिए उन्हें थोड़ा और दबाना होगा।,negative
इस फिल्म की उपलब्धियों में विनीत कुमार सिंह और गिरीश कुलकर्णी हैं।,positive
इस टैबलेट की टच स्क्रीन की प्रतिक्रिया काफी अच्छी है और इसका उपयोग करने के लिए बहुत आरामदायक है।,positive
बोध गया में कई संस्थान हैं जो इसे करते हैं।,neutral
इस बुद्धिमान घड़ी का वजन 45 ग्राम है।,neutral
1 जीबी रैम के कारण इसका प्रदर्शन काफी अच्छा है।,positive
यह ऑटोफोकस के साथ 8 एमपी कैमरा और सोनी बीएसआई सेंसर के साथ एक बेहतर कैमरा स्मार्टफोन भी है।,positive
"हमें जल्दी से पता चला कि समस्या इसके साथ दिए गए चार्जर में है, क्योंकि पीसी से जुड़े होने के बाद फोन को जल्दी से बिल दिया जाता है।",neutral
"कुल मिलाकर, हनीकॉम्ब 3.2 इस डिवाइस के लिए अच्छा है, और डिवाइस पूरी तरह से इसके लिए डिज़ाइन किया गया है।",neutral
उसे अपनी बहन मालिनी का रिश्ता और अपनी कहानी बतानी थी।,neutral
कारण स्पष्ट है कि लेखक - निर्देशक के लिंग और प्रस्तुति के लिए स्पष्ट नहीं है।,negative
यह एक स्पीकर में केवल एक ग्रिल है और शीर्ष में काले डिजाइन का एक तत्व है।,neutral
"यदि आपको एक साथ कई एप्लिकेशन चलाने हैं, तो यह फोन एक अच्छा विकल्प हो सकता है क्योंकि यह एक साथ बहुत सारी चीजें करते समय एक ही गति से काम करता है।",positive
केनन 1200 डी अपने 18-55 लेंस के लिए शानदार तस्वीरें लेने में सक्षम है।,positive
1080p HD वीडियो रीडिंग है।,positive
"जो लोग औसत प्रदर्शन की उम्मीद करते हैं, वे इसे खरीदने के लिए निराश नहीं होंगे, लेकिन यह बेहतर होगा कि आप इससे अधिक उम्मीद न करें।",neutral
पहाड़ी क्षेत्र के कारण सुंदर दृश्यों को भी देखा जा सकता है।,positive
"महिला रिश्तों में कथित आधुनिकता के भ्रम के इतिहास को आगे बढ़ाते हुए, संबंधपरक भेद, वियोग और सनसनी की यह फिल्म हिंदी फिल्मों के पहने हुए दृश्यों का मज़ाक बनाती है, लेकिन इसी तरह दृश्य दृश्यों में हैं।",neutral
यहां तक ​​कि खेल खेलना आरामदायक है।,positive
मोटोरोला 360 डिवाइस को अपने आप में सर्वश्रेष्ठ कहा जा सकता है क्योंकि इसका लुक बहुत आकर्षक है।,positive
हुआवेई मीडियापैड के बारे में एक आम शिकायत बैटरी बैकअप को कम करना है।,negative
"बैटरी लाइफ की बात करें तो, गैलेक्सी टैब 3 बैटरी हमारे निरंतर वीडियो रीडिंग टेस्ट में लगभग 6.5 घंटे तक रहती है।",neutral
उच्च प्रदर्शन केवल डिवाइस पर काम करता है।,neutral
4 अप्रैल से बियार खेल ग्राउंड में दो दिनों में बैगा ओलंपिक खेलों में बैगा अन्य राज्यों के साथ -साथ आसपास के जिलों में भी शामिल होंगे।,neutral
टैबलेट वास्तव में पतली है और इसकी उच्चतम मोटाई 6.6 मिमी है।,positive
इंटरफ़ेस बहुत पुरानी शैली है।,negative
"यद्यपि यह गैलेक्सी टैब 750 से थोड़ा मोटा है, यह काफी पतली गोली है।",neutral
इस मॉडल में 1.2 गीगाहर्ट्ज क्वाड्रिकोल प्रोसेसर और एक जीबी रैम है।,neutral
मुंबई में यह सबसे पुराना स्थान विश्व विरासत में शामिल है।,positive
"राजकुमार हिरानी और अभिजीत जोशी का संदेश स्पष्ट है कि स्वामी, बाबा, गुरु, मौलवी और पादरी, जो अलग -अलग भगवान के प्रबंधक बन गए, वास्तव में डर का आतंक फैलाकर अपने उल्लू को वितरित करते हैं।",neutral
"उसके बाद, छठे दशक में यहां सेना शिविर भी बनाया गया था।",neutral
"इसकी विशेषताओं में एक आसान स्थापना, एक साफ और अच्छा उपयोगकर्ता इंटरफ़ेस और अच्छा मुखर स्तर शामिल हैं।",positive
उसी दिन बैटरी लाइफ का उपयोग करना आसान नहीं है।,negative
"हाल ही में, एक प्रस्तुति के दौरान, मेरा लैपटॉप फिर से उसी समस्या से पीड़ित है - प्रदर्शन की शिथिलता।",negative
"इसके अलावा, इसमें एक रेडिएंट एलईडी ब्लैक मॉड्यूल, एक 14.4 मिमी दूरबीन और एक गतिशील कंट्रास्ट अनुपात 5000: 1 है।",neutral
Apple वॉच के लिए प्रतीक्षा करें कि खुद को परिभाषित किया जाए।,neutral
"यदि आप इस सोनम कपूर फिल्म को हिशिकेश मुखर्जी द्वारा ""सुंदर"" के साथ शशांक घोष की ""सुंदर"" की तुलना करने के इरादे से देखते हैं, तो निराशा और असंतोष होगा।",negative
"पिक्सेल के उच्च क्लिक के कारण, स्क्रीन आंखों से संबंधित है जो वीडियो को पढ़ने और देखने के लिए बहुत अच्छा है।",positive
इस फैबलेट में एक बड़ी बैटरी भी है जो बैटरी बैकअप मोड को सक्रिय किए बिना एक दिन काम कर सकती है।,neutral
"अब तक, यह इस बजट में खरीदने के लिए सबसे अच्छे स्मार्टफोन में से एक है।",positive
"एक वक्ता में एक बड़ी ग्रिल के साथ निचला हिस्सा, लेकिन उसकी आवाज शोर नहीं है और यह इस तथ्य के कारण है कि सोनी इसे जलरोधक बनाता है।",negative
USB 3.0 पोर्ट और एक वास्तविक मिनी HDMI होने से यह और भी अधिक उत्पादक बनाता है।,positive
"एक उत्कृष्ट उत्पाद होने के बावजूद, इसमें निराशाजनक दोष हैं।",negative
कीमत के संदर्भ में कोई तुलना नहीं है क्योंकि यह iPhon 6 के सबसे महंगे वेरिएंट को और अधिक महंगा भी बनाता है।,negative
इसमें 1280 x 800 पिक्सेल के रिज़ॉल्यूशन के साथ 8 -इंच एचडी डिस्प्ले स्क्रीन है।,neutral
यह 32 जीबी विस्तार मेमोरी का समर्थन करने वाले मेमोरी कार्ड स्लिट द्वारा अधिक मेमोरी जोड़ने का भी पर्याय है।,positive
इसके अधिकांश कार्यों का प्रदर्शन मजबूत है।,positive
उनकी शर्तें और शिक्षा उनके वर्तमान के कारण हैं।,neutral
फोन को एक स्वचालित लक्ष्य होने में बहुत लंबा समय लगा।,negative
फिल्म में गीतों की शूटिंग से सारा ध्यान आकर्षित होता है।,positive
3 डी में इस फिल्म को देखने के लिए बिल्कुल कोई नहीं है।,neutral
"हालांकि, यह लगभग सभी लोकप्रिय अनुप्रयोगों का समर्थन करता है और यह लगभग सभी उपयोगकर्ताओं के लिए एक समस्या नहीं होगी।",neutral
"बैटरी लाइफ की बात करें तो, हमारे सुसंगत वीडियो रीडिंग टेस्ट द वॉयस पर चमक और आवाज के पूरे स्तर पर 10 घंटे तक चलते हैं, जो एक बहुत ही शानदार बैटरी प्रदर्शन है।",positive
"कई बार, फिल्में पृष्ठों से पर्दे तक बिगड़ती हैं।",negative
"टैब में 6,000 एमएएच की बैटरी है जो एक बेहतर बैकअप बैटरी देती है।",neutral
स्टॉक Android UI है।,positive
हिंदी में फिल्मों की आम जनता फैनी को खोजने की उम्मीद का लाभ नहीं उठा पाएगी।,positive
कोई समस्या नहीं थी जब Xiaomi से एक कॉल किया गया था।,neutral
"Genfone 5 काफी `` सरल '' है, लेकिन इसके बावजूद, आप डिवाइस से परेशान नहीं होंगे क्योंकि आप इसके बैक कवर को बदले में बदल सकते हैं और इसके लुक को बदल सकते हैं।",neutral
मोटो 360 स्मार्टवॉच दिखने में काफी अच्छा है और उपभोक्ताओं को अपने राउंड डायल डिज़ाइन के साथ Google के नवीनतम एंड्रॉइड प्लेटफॉर्म पर सबसे अधिक आकर्षित करता है।,positive
"इसमें 41 एमएएच की बैटरी भी है, जो लगभग 30 दिनों तक रह सकती है।",neutral
"द्वारका: गुजरात के द्वारिकापुरी, हिंदू और सप्त पुरिस के चार धामों में से एक, को मोक्ष तिरथ के नाम से जाना जाता है।",positive
"अन्य कलाकारों में, राजकुमार राव ने सोनू गन्ना किसान सेहरावत की भूमिका को अभिभूत कर दिया है।",neutral
इस डिवाइस के ऊपरी हिस्से में माइक्रो एसडी कार्ड स्थान और सिम कार्ड स्थान हैं।,neutral
"नवीनता उनके चरित्र पीके में है, जो ""कोई मिल गया"" में एक जादू में आया था।",positive
"इसके अलावा, लैपटॉप में एक डोली एडवांस्ड ऑडियो वी 2 तकनीक है जो अभी भी ध्वनि की भलाई में सुधार करती है।",positive
"नदियाँ और पहाड़ - केरल में एक अद्वितीय पर्यटन स्थल, जो पहाड़ियों से घिरा हुआ है, ने हमेशा पर्यटकों को आकर्षित किया है।",positive
"हजारों लोग इस काम में लगे हुए हैं, जो प्रति दिन लगभग 2 लाख पर एक लंच बॉक्स प्रदान करता है।",neutral
इसमें शून्य वायु अंतर प्रौद्योगिकी के साथ 10.1 इंच की मल्टी-टच मल्टी-टच डिस्प्ले स्क्रीन है।,neutral
सैमसंग गैलेक्सी टैब 3 के विनिर्देश ने टैब 2 से बहुत अधिक सुधार नहीं किया है।,neutral
स्क्रीन और शरीर में दाग होने की संभावना है,negative
यह एप्लिकेशन आपके चुने हुए दस्तावेज़ पर आपके हस्ताक्षर की एक छोटी छवि को सही करता है।,neutral
"अब तक, 1007 परिसंपत्तियों को विश्व विरासत घोषित किया गया है, जिसमें 31 ट्रांसबाउंडर, 2 सीमांकित, 46 इंडेंस, 779 सांस्कृतिक, 197 प्राकृतिक, 31 मिश्रित और 161 राज्य शामिल हैं।",neutral
"नए मॉडल में अधिक आईएसओ रेंज है ताकि आप कम रोशनी की स्थिति में अच्छी तस्वीरें भी ले सकें, आईएसओ रेंज को कैमरे में 100 से 12,800 तक परिभाषित किया जा सकता है।",positive
यह नया मैकबुक अया संस्करण 13.1 मिमी की मोटाई के साथ सबसे पतला मैकबुक है।,positive
यह इस तरह से किया गया है कि आप इसे बहुत आराम से अपने हाथ में पकड़ सकते हैं।,positive
टाइगर को टाइगर लाने के लिए यह सही जगह है।,positive
"समुद्र तल से 1,300 मीटर की ऊंचाई पर स्थित काठमांडू शहर में मंदिरों को देखने के लिए अधिक है।",positive
"दोष यह है कि यदि आप फिल्म देखते हैं या खेल खेलते हैं, तो वक्ताओं को आपके हाथों से कवर किया जाता है।",negative
"इसलिए, आप इसे फोन और टैबलेट का संगम भी कह सकते हैं-जिसे फैबलेट कहना है।",neutral
"कुल मिलाकर, प्रदर्शन औसतन रहा, जबकि हमें इस उच्च उपकरण की उम्मीद थी।",neutral
"इसमें एक एफएम रेडियो, ब्लूटूथ कनेक्टिविटी, एक कैमरा है।",neutral
लैपटॉप में 1/3-mégapixel वेबकैम और वन कार्ड स्लॉट में 3 भी है।,neutral
"इस नए लेनोवो स्मार्टफोन में ऑक्टा प्रोसेसर 1.5 गीगाहर्ट्ज और 2 जीबी रैम है, जिसमें अच्छा उपचार और प्रदर्शन है।",positive
"उन्होंने सुंदर तरीके से अपनी मानसिक क्षमताओं को खूबसूरती से व्यक्त किया, जिसमें सेरेब्रल पक्षाघात के कारण चरित्र की गतिविधियों में होने वाली प्राकृतिक कंगन के अलावा।",positive
गोवा भारत में इन पर्यटन स्थानों में से एक है जहां बारह महीने पहले।,positive
कोंकण की रेलवे में प्रगति में यात्रा करना एक सुंदर भावना होगी।,positive
इसकी विशेषताएं और उत्पादकता भी कम संवेदनाएं देती हैं।,negative
यह उनके खेल के बारे में नहीं कहा जा सकता है।,neutral
वास्तविक उपयोग में MediaPad 10 लिंक का प्रदर्शन काफी अच्छा है।,positive
इस मूल्य सीमा में इसका प्रदर्शन अपने सभी प्रतिद्वंद्वियों से बेहतर है।,positive
"""मौन"" का स्थान शानदार है।",positive
कीमत $ 249 है।,neutral
आपके द्वारा निष्कर्ष निकालने वाले समझौतों के लिए कीमत पूरी तरह से उपयुक्त है और यूरेका आसानी से माइक्रोमैक्स के बीच सबसे अच्छे स्मार्टफोन में से एक है।,positive
उनके पास 3220 एमएएच की बैटरी है।,neutral
यह टैबलेट V -FI तकनीक और इसकी पूरी तरह से व्यस्त 8 घंटे की बैटरी से भी लैस है।,neutral
"जैसे ही आप एक विकल्प खोलने के लिए मुंह के माध्यम से बोलकर बोलते हैं, यह एक फट के साथ काम करता है।",positive
"प्रकृति के बीच में स्थित, शहर को क्राइस्ट चर्च, बंदर बिंदु, कसौली भट्टी और मजबूत गोरखा के लिए भी जाना जाता है।",positive
Xperia टैबलेट Z का प्रदर्शन वास्तविक उपयोग में भी शानदार है।,positive
"इसका प्रदर्शन बहुत चिंतनशील नहीं है, ताकि इसका उपयोग करने के लिए पर्याप्त आरामदायक हो।",positive
उनके पास मजाक करने वाले दृश्यों में कोई हँसी और संवाद नहीं है।,positive
एक कार्यक्रम को बिकनेर यात्रा में राकेश के साथ लादेरा गांव में स्थित मारुपभूमि त्योहार को देखने के लिए डिज़ाइन किया गया था।,neutral
यह टैबलेट 55 पूर्व-बंद योजनाओं के साथ दिया जाता है।,neutral
"उनकी कहानी और उनके संदर्भ के कारण, महत्वपूर्ण ""भोपाल: ए प्रेयर फॉर रेन"" एक प्रासंगिक और आवश्यक फिल्म होगी यदि वह एक संगत और उद्देश्यपूर्ण दृष्टिकोण के साथ भोपाल गैस त्रासदी का प्रतिनिधित्व करता।",neutral
पहाड़ का अधिकार वह स्थान था जहाँ हमारा होटल अभी भी अंधेरे में डूब गया था।,neutral
"हुआवेई मीडिया पैड में एक डबल कैमरा, एक 5 मेगापिक्सेल ऑटोफोकस है जिसमें रियर फ्रंट कैमरा और 1.3 मेगापिक्सल चर्चा करने के लिए है।",neutral
"यह सुंदर टैबलेट इंटेल एटम 2580 2 गीगाहर्ट्ज प्रोसेसर द्वारा संचालित है, इसका प्रदर्शन बहुत अच्छा है।",positive
दोनों थोड़ी देर के बाद नीरस और अप्रभावी हो जाते हैं।,negative
